"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 95","10.31","10.55","10.67","9.83","43.70M","-1.72%"
"Sep 95","10.49","10.37","11.09","10.13","38.36M","0.58%"
"Aug 95","10.43","10.85","11.09","10.25","36.62M","-3.34%"
"Jul 95","10.79","10.97","11.45","10.73","47.33M","-1.64%"
"Jun 95","10.97","11.03","11.15","10.19","62.46M","-0.54%"
"May 95","11.03","11.15","11.69","10.85","51.50M","0.00%"
"Apr 95","11.03","10.49","11.69","10.37","51.61M","5.15%"
"Mar 95","10.49","9.47","10.55","9.29","34.62M","10.77%"
"Feb 95","9.47","9.05","9.71","8.63","34.46M","6.05%"
"Jan 95","8.93","9.29","9.77","8.93","24.90M","-3.25%"
"Dec 94","9.23","9.41","9.47","8.81","25.52M","-1.91%"
"Nov 94","9.41","10.37","10.43","8.99","30.92M","-10.30%"
"Oct 94","10.49","10.07","10.55","9.59","30.36M","4.17%"
"Sep 94","10.07","10.61","10.64","9.77","35.58M","-5.62%"
"Aug 94","10.67","9.47","10.73","9.41","54.09M","11.96%"
"Jul 94","9.53","9.11","9.65","8.99","29.46M","5.30%"
"Jun 94","9.05","9.23","9.59","8.93","28.91M","-2.58%"
"May 94","9.29","8.45","9.35","8.21","36.01M","9.17%"
"Apr 94","8.51","7.67","8.57","7.25","38.92M","10.09%"
"Mar 94","7.73","8.75","8.75","7.73","32.32M","-11.05%"
"Feb 94","8.69","8.63","9.17","8.57","26.63M","0.70%"
"Jan 94","8.63","8.21","8.93","8.21","30.36M","5.89%"
"Dec 93","8.15","8.45","8.75","8.09","42.13M","-4.23%"
"Nov 93","8.51","8.87","9.05","8.27","36.68M","-4.70%"
"Oct 93","8.93","9.89","10.13","8.81","37.42M","-9.71%"
"Sep 93","9.89","10.13","10.31","9.71","28.76M","-3.51%"
"Aug 93","10.25","10.13","10.43","9.71","25.00M","1.18%"
"Jul 93","10.13","9.95","10.43","9.65","19.94M","0.60%"
"Jun 93","10.07","10.43","10.91","9.53","35.36M","-3.45%"
"May 93","10.43","10.67","10.85","10.19","18.64M","-1.70%"
"Apr 93","10.61","10.61","11.27","10.25","30.26M","0.57%"
"Mar 93","10.55","9.65","10.85","9.47","46.46M","8.65%"
"Feb 93","9.71","8.87","9.77","8.81","44.40M","8.73%"
"Jan 93","8.93","8.27","8.99","8.09","27.27M","9.57%"
"Dec 92","8.15","8.57","8.93","8.09","40.56M","-4.90%"
"Nov 92","8.57","8.15","8.69","7.73","25.05M","5.15%"
"Oct 92","8.15","8.57","8.81","7.55","31.35M","-3.55%"
"Sep 92","8.45","9.41","9.41","8.39","19.83M","-11.33%"
"Aug 92","9.53","9.83","9.89","8.99","14.89M","-3.05%"
"Jul 92","9.83","9.41","9.89","9.11","21.06M","4.46%"
"Jun 92","9.41","10.55","10.73","9.29","22.28M","-10.81%"
"May 92","10.55","9.89","11.09","9.65","34.59M","6.03%"
"Apr 92","9.95","9.05","10.01","8.69","32.32M","7.80%"
"Mar 92","9.23","9.29","9.53","8.69","25.76M","-0.65%"
"Feb 92","9.29","9.05","9.89","8.93","27.67M","1.98%"
"Jan 92","9.11","8.63","9.83","8.57","36.96M","6.30%"
"Dec 91","8.57","9.11","9.35","7.97","41.08M","-7.15%"
"Nov 91","9.23","10.31","10.85","9.05","36.05M","-14.93%"
